"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Kings,Kings,60014,Active,816,33,2,0,4,15,0,0,0,111,981
Kings,Kings,60014,Inactive,67,0,0,1,0,1,0,0,0,18,87
Kings,Kings,60014,Total,883,33,2,1,4,16,0,0,0,129,"1,068"
Kings,Kings,60015,Active,668,33,1,0,4,25,0,0,0,128,859
Kings,Kings,60015,Inactive,95,7,0,0,0,1,0,0,0,12,115
Kings,Kings,60015,Total,763,40,1,0,4,26,0,0,0,140,974
Kings,Kings,60016,Active,447,23,0,0,1,8,0,0,0,86,565
Kings,Kings,60016,Inactive,41,4,0,0,0,1,0,0,0,10,56
Kings,Kings,60016,Total,488,27,0,0,1,9,0,0,0,96,621
Kings,Kings,60017,Active,884,87,0,0,5,26,0,0,0,145,"1,147"
Kings,Kings,60017,Inactive,61,7,1,0,0,1,0,0,0,14,84
Kings,Kings,60017,Total,945,94,1,0,5,27,0,0,0,159,"1,231"
