"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Richmond  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Richmond  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Richmond,Richmond,63056,Active,550,202,9,1,3,28,0,0,0,289,"1,082"
Richmond,Richmond,63056,Inactive,33,9,0,0,0,0,0,0,0,9,51
Richmond,Richmond,63056,Total,583,211,9,1,3,28,0,0,0,298,"1,133"
Richmond,Richmond,63057,Active,601,301,13,0,2,33,0,0,1,313,"1,264"
Richmond,Richmond,63057,Inactive,57,16,0,0,0,5,0,0,0,26,104
Richmond,Richmond,63057,Total,658,317,13,0,2,38,0,0,1,339,"1,368"
Richmond,Richmond,63058,Active,596,348,8,1,2,36,0,0,1,269,"1,261"
Richmond,Richmond,63058,Inactive,37,22,0,0,1,1,0,0,0,21,82
Richmond,Richmond,63058,Total,633,370,8,1,3,37,0,0,1,290,"1,343"
Richmond,Richmond,63059,Active,496,351,25,0,5,32,0,0,1,243,"1,153"
Richmond,Richmond,63059,Inactive,29,15,3,0,0,3,0,0,0,20,70
Richmond,Richmond,63059,Total,525,366,28,0,5,35,0,0,1,263,"1,223"
Richmond,Richmond,63060,Active,466,314,36,0,5,38,1,0,0,253,"1,113"
Richmond,Richmond,63060,Inactive,38,17,0,0,1,6,0,0,0,16,78
Richmond,Richmond,63060,Total,504,331,36,0,6,44,1,0,0,269,"1,191"
Richmond,Richmond,63061,Active,429,252,8,4,1,19,0,0,2,190,905
Richmond,Richmond,63061,Inactive,25,13,2,0,0,1,0,0,0,9,50
Richmond,Richmond,63061,Total,454,265,10,4,1,20,0,0,2,199,955
Richmond,Richmond,63062,Active,195,248,17,0,1,24,0,0,0,90,575
Richmond,Richmond,63062,Inactive,8,7,1,0,0,0,0,0,0,8,24
Richmond,Richmond,63062,Total,203,255,18,0,1,24,0,0,0,98,599
,,,,,,,,,,,,,,
Page 29 of 39,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
