"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Queens  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Queens,Queens,32076,Total,3,0,0,0,0,0,0,0,0,0,3
Queens,Queens,32077,Active,822,25,4,0,7,22,0,0,0,118,998
Queens,Queens,32077,Inactive,34,4,0,0,0,2,0,0,0,5,45
Queens,Queens,32077,Total,856,29,4,0,7,24,0,0,0,123,"1,043"
Queens,Queens,32078,Active,536,12,0,1,5,12,0,0,0,64,630
Queens,Queens,32078,Inactive,22,1,0,0,0,0,0,0,0,10,33
Queens,Queens,32078,Total,558,13,0,1,5,12,0,0,0,74,663
Queens,Queens,32079,Active,788,28,1,0,6,14,1,0,0,135,973
Queens,Queens,32079,Inactive,77,4,0,0,0,3,0,0,0,12,96
Queens,Queens,32079,Total,865,32,1,0,6,17,1,0,0,147,"1,069"
Queens,Queens 33001,,Active,645,159,9,0,2,31,0,0,0,270,"1,116"
,,,,,,,,,,,,,,
Page 104 of 175,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Queens  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
