"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Queens  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Queens,Queens 32005,,Total,989,81,6,7,19,0,1,201,"1,304"
Queens,Queens,32006,Active,841,75,0,5,25,2,0,186,"1,134"
Queens,Queens,32006,Inactive,61,7,0,0,0,0,0,14,82
Queens,Queens,32006,Total,902,82,0,5,25,2,0,200,"1,216"
Queens,Queens,32007,Active,126,11,1,0,2,1,0,30,171
Queens,Queens,32007,Inactive,4,0,0,0,0,0,0,2,6
Queens,Queens,32007,Total,130,11,1,0,2,1,0,32,177
Queens,Queens,32008,Active,112,14,0,2,1,0,0,36,165
Queens,Queens,32008,Inactive,7,1,0,0,0,0,0,0,8
Queens,Queens,32008,Total,119,15,0,2,1,0,0,36,173
Queens,Queens,32009,Active,139,15,0,1,3,0,0,46,204
Queens,Queens,32009,Inactive,5,1,0,0,2,0,0,2,10
Queens,Queens,32009,Total,144,16,0,1,5,0,0,48,214
Queens,Queens,32010,Active,58,6,0,0,3,1,0,18,86
Queens,Queens,32010,Inactive,0,0,0,0,0,0,0,1,1
Queens,Queens,32010,Total,58,6,0,0,3,1,0,19,87
Queens,Queens,32011,Active,348,57,2,1,5,0,0,91,504
Queens,Queens,32011,Inactive,21,2,0,1,0,0,0,7,31
,,,,,,,,,,,,
Page 93 of 172,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Queens  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Queens,Queens,32011,Total,369,59,2,2,5,0,0,98,535
Queens,Queens,32012,Active,10,0,0,0,0,0,0,4,14
Queens,Queens,32012,Total,10,0,0,0,0,0,0,4,14
Queens,Queens,32013,Active,101,14,1,2,5,0,0,26,149
Queens,Queens,32013,Inactive,2,0,0,1,0,0,0,0,3
Queens,Queens,32013,Total,103,14,1,3,5,0,0,26,152
Queens,Queens,32014,Active,13,0,0,0,1,0,0,3,17
Queens,Queens,32014,Inactive,4,0,0,0,0,0,0,2,6
Queens,Queens,32014,Total,17,0,0,0,1,0,0,5,23
Queens,Queens,32015,Active,801,30,1,3,15,0,0,124,974
